Tønsberg;Alufelger;PHEMI10T855-13BR5S;1;2515;PH Edition II;Miles 10";5;112;20;Bronze (956 Kg);ET55;57,1;0
Tønsberg;M+S Pigg;SA539709;20;1442;Sava;Eskimo Stud Ms;205;55;16;EU:;91;T;20
Oslo;M+S;NOT430729;17;4001;Nokian;Hakkapeliitta R3;215;45;20;EU:B-E-72dB(B);95;R;20
Tønsberg;Sommerdekk;MNMV989;13;1311;Minerva;F205;215;35;18;EU:D-B-71dB(B);84;W;20
Tønsberg;Sommerdekk;PI3120600;4;2922;Pirelli;Cinturato P7 *;245;45;18;EU:A-B-70dB(B);100;Y;20
Tønsberg;MC dekk;MI111636;7;3725;Michelin;Desert Race;140;80;18;Rear TT (Motorsport only - NHS);70;R;16
Jæren;Sommerdekk;FA330438;4;2122;Falken;Ziex ZE310EC;225;55;16;EU:C-A-69dB(A);99;V;20
Kristiansand;Sommerdekk;SV3220006745;2;2355;Sailun;Atrezzo ZSR SUV;275;55;20;EU:B-B-72dB(B);117;V;20
Trondheim;Sommerdekk;PI3564300;20;3400;Pirelli;Scorpion AO+ Seal Inside™ ELECT™;235;50;20;EU:A-B-69dB(B);100;T;20
Trondheim;Sommerdekk;MI031818;2;1737;Michelin;Primacy 4 *;205;55;16;EU:A-B-69dB(B);91;W;20
Kristiansand;M+S;VR8714692351921;4;2055;Vredestein;Wintrac Pro;205;60;17;EU:C-B-72dB(B);93;H;20
Trondheim;Sommerdekk;CP589862;8;2398;Cooper;Cobra G/T;225;70;15;No EU Label;100;T;20
Tønsberg;M+S;SV3220019658;20;2055;Sailun;Ice Blazer Arctic SUV;235;65;17;EU:C-D-72B(B);104;T;20
Tønsberg;Traktordekk;VR8714692805523;1;5922;Vredestein;Traxion85 II;320;85;20;TL;124;D;100
Tønsberg;Sommerdekk;SV3220017455;14;1588;Sailun;Atrezzo ZSR2;225;35;19;EU:C-A-69dB(A);88;Y;20
Tønsberg;Sommerdekk;SV3220017386;14;1255;Sailun;Atrezzo ZSR2;205;40;17;EU:C-A-69dB(A);84;Y;20
Oslo;Alufelger;PHETAH48-0G11S;20;1845;PH Edition II;Turbin 8";5;108;18;Gun Metal (875 Kg);ET48;63,4;0
Kristiansand;Alufelger;PHEDAV52-027TSS;20;3085;PH Edition II;Dynamics 8";6;120;18;Titanium Silver (1125 Kg);ET52;74.5;0
Kristiansand;M+S Pigg;MNNES014;2;1213;Minerva;Eco Stud;185;65;15;EU:;88;T;20
Oslo;Sommerdekk;SV3220017449;20;1533;Sailun;Atrezzo ZSR2;225;35;18;EU:C-A-69dB(A);87;Y;20
Oslo;M+S;MI012782;2;4046;Michelin;X-Ice Snow;245;35;19;EU:C-E-71dB(B);93;H;20
Bergen;Sommerdekk;ANTAB5018;20;1388;Antares;Majoris R1;225;55;18;EU:D-C-71dB(B);98;V;20
Narvik;M+S Pigg;MI414744;20;3941;Michelin;X-Ice North 4 Suv;255;65;17;EU:;114;T;20
Bergen;M+S;CP590269;20;2233;Cooper;Weathermaster Ice 600;225;65;17;EU:C-D-72dB(B);102;T;20
Oslo;M+S Pigg;GRI6969999000672;2;3633;Gripmax;SureGrip Pro Ice;235;35;20;230 pigger;92;T;20
Tønsberg;M+S;VR8714692361418;20;1755;Vredestein;Wintrac;205;55;16;EU:C-B-70dB(B);91;T;20
Tønsberg;Sommerdekk;WL6938112602581;8;1788;Westlake;SL369 AT;235;65;17;EU:D-D-71dB(B);104;S;20
Narvik;M+S Pigg;ANT6959585836068;14;2422;Antares;Grip 60 ice LT;245;75;16;EU:;120;S;20
Tønsberg;Sommerdekk;WL6938112602703;8;2222;Westlake;SL369 AT;265;60;18;EU:D-D-72dB(B);110;T;20
Kristiansand;M+S;GB2154520LM32-14;19;2433;Bridgestone;Blizzak LM32;215;45;20;Tilbud DOT 2014;95;V;20
Oslo;Traktordekk;ALL32414002;1;6283;Alliance;324 Farmpro;14.9;80;28;TT Pr.8;130;A8;500
Narvik;Sommerdekk;LL221033690;4;1933;Linglong;Sport Master E;235;55;19;EU:A-B-69dB(A);105;V;20
Oslo;Sommerdekk;GO542445;20;1282;Goodyear;Efficientgrip Performance 2;195;65;15;EU:B-A-68dB(A);91;H;20
Tønsberg;Sommerdekk;WL6938112641634;20;1566;Westlake;ZuperAce Z-007 SUV;225;65;17;EU:C-C-72dB(B);106;V;20
Tønsberg;Sommerdekk;WL6938112636838;20;1999;Westlake;ZuperAce Z-007;245;50;18;EU:C-A-71dB(B);100;W;20
Tønsberg;Sommerdekk;WL6938112602741;10;2377;Westlake;SL369 AT;265;50;20;EU:D-D-72dB(B);111;T;20
Oslo;Sommerdekk;FA336769;2;1922;Falken;Sincera SN110;185;60;16;EU:C-A-69dB(B);86;H;20
Bergen;M+S;CP591630;2;3044;Cooper;Weathermaster Ice 600;235;50;20;EU:C-D-70dB(B);104;T;20
Narvik;M+S Pigg;GRI6969999000641;6;3111;Gripmax;SureGrip Pro Ice;235;45;19;230 pigger;99;T;20
